Date,Author,Title
1861,"Holmes, Oliver Wendell",Elsie Venner
1866,"Wood, J. G. (Rev)","Homes Without Hands: Being a Description of the Habitations of Animals, Classed According to Their Principle of Construction"
1867,"Smith, William W. ",A Complete Etymology of the English Language
1867,,"The Book of Common Prayer and Administration of the Sacraments, and Other Rites and Ceremonies of the Church, According to the Use of the United Church of England and Ireland: Together with the Psalter or Psalms of David, Pointed as they are to be Sung or Said in Churches; and the Form and Matter of Making, Ordaining, and Consecrating Bishops, Priests, and Deacons"
1869,"Bunyan, John","Pilgrim's Progress, from This World to that which is to come "
1877,"Kingston, W. H. G. ",Clara Maynard or True & False
1877,"Lamb, Charles",The Essays of Elia
1877,"Palgrave, Fancris Turner",The Golden Treasury of the Best Song and Lyrical Poems in the English Language
1880,"Burke, Edmund",The Works of Edmund Burke: Volume I (A Vindication of Natural Society; An Essay on the Sublime and Beautiful)
1880,"Mendelssohn-Bartholdy, Felix",Lieder Ohne Worte for the Pianoforte
1885,"Gladman, F. J.","School Work: Control and Teaching, Organisation and Principles of Education"
1885,"Stevenson, R. L. ",A Child's Garden of Verses
1886,"Macaulay, Lord",Biographies of Lord Macaulay (Francis Atterbury; John Bunyan; Oliver Goldsmith; Samuel Johnson; William Pitt) 
1887,"Charles, Elizabeth",Chronicles of the Schonberg-Cotta Family
1888,"Morley, Henry (Ed.); Steele & Addison",The Spectator
1891,"Carlyle, Thomas",Sartor Resartvs
1891,"Frith, Henry","How to Read Character in Features, Forms, & Faces"
1891,"George, Henry",The Condition of Labour: An Open Letter to Pope Leo XIII
1891,"Nicoll, W. Robertson (ed.); Plummer, Alfred",THe Expositor's Bible; The General Epistles of St. James and St. Jude
1892,"Pitt, George",Miscellaneous Pieces
1893,"George, Henry","A Perplexed Philosopher... being An Examination of Mr. Herbert Spencer's Various Utterances on the Land Question, with Some Incidental Reference to His Synthetic Philosophy"
1894,"Creasy, Edward",The Fifteen Decisive Battles of the World
1894,"Ruskin, John",The Eagle's Nest: Ten lectures on the relation of natural science to art
1894,"Sabatier, Paul",Life of St. Francis of Assisi
1895,"Arnold, Matthew",Selected Poems of Matthew Arnold 
1895,"Green, John Richard",A Short History of the English People
1895,"Morris, Lewis",The Works of Lewis Morris
1895,"Stevenson, R. Louis",Virginibus Puerisque and other papers
1897,"Merriman, Henry Seton",In Kedar's Tents
1897,"Pater, Walter",Appreciations with an Essay on Style
1898,"Addison, Joseph",Essays of Joseph Addison
1898,"Harrison, Frederic ",Oliver Cromwell
1898,"Jerome, Jerome K. ",The Second Thoughts of An Idle Fellow
1898,"Kant, Immanuel",Fundamental Principles of the Metaphysic of Morals; Critical Examination of Practical Reason; Elements of Pure Practical Reason ; First Part of the Philosophical Theory of Religion
1899,"Ruskin, John",Munera Pulveris: Six essays on the elements of political philosophy
1900,"Dryden, John",Essays Vol. I
1901,"Dobson, Austin",Old-World Idylls and other verses
1901,"Hamilton, Alexander; Madison, James; Jay, John",The Federalist: I 
1901,"Hamilton, Alexander; Madison, James; Jay, John",The Federalist: II
1901,"Kingston, Alfred",The Romance of A Hundred Years: Remarkable chapters in the social and public life of the nineteenth century
1901,,The Koran
1903,Harrison,Platonism in English Poetry of the Sixteenth and Seventeenth Century
1903,"Hazlitt, William","Lectures on the English Comic Writers (On Wit andn Humour; On Shakespeare and Ben Jonson; On Cowley, Butler, Suckling, Etherege, etc.; On Wycherley, Congreve, Vanbrugh, and Farquhar; On the periodical essayists; On the English novelists; On the works of Hogarth; On the Comic writers of the last century)"
1903,"Lamb, Charles & Mary",Tales from Shakespeare
1904,"Adderley, James",Prayer-Book Teaching: An Attempt to construct a positive statement of Church of England Doctrine and Practice from the words of the Book of Common Prayer and the Articles 
1904,"Longfellow, Henry Wadsworth",The Poetical Works of Longfellow
1904,"Phillips, Stephen",Poems
1904,"Wordsworth, William (Ed. by Hutchinson, Thomas)",The Poetical Works of Wordsworth
1905,"Hyde, Lilian Stoughton",Favourite Greek Myths
1905,"Shelley, Percy Bysshe (Ed. by Thomas Hutchinson)",The Complete Poetical Works of Percy Bysshe Shelley
1905,"Symons, Arthur",Cities
1905,"Welsh, R. E. ",Man to Man
1906,"Stevenson, Robert Louis",Familiar Studies of Men and Books
1907,"Macaulay, Thomas Babington","Lord Macaulay's Essays (on Milton, Machiavelli, Jews, Byron, Boswell, Horace Walpole, William Pitt, Bacon, Claddstone, Holland, Addison, Frederic the Great, etc.) and Lays of Ancient Rome"
1907,"Stevenson, R. L.",The Pocket R. L. S.: Being favourite passages from works of Stevenson
1908,"Huxley, T. H.",Collected Essays
1908,"Keats, John (Ed. by Forman, H. B.)",The Poetical Works of John Keats
1908,"Trench, Richard Chenevix ",On the study of words
1909,"Morison, J. Cotter ",Macaulay
1910,"Birrell, Augustine",Obiter Dicta
1910,"Hadden, J. Cuthbert","Master Musicians: a book for Players, Singers, & Listeners"
1910,"Holmes, Oliver Wendell",Autocrat of the Breakfast Table
1910,"Lankester, Sir Ray",Science From an Easy Chair
1910,"Stephen, Leslie",English Literature and Society in the XVIII Century
1911,"Goldsmith, Oliver","The Lives of ""Beau"" Nash and others (Macaulay, Parnell, Bolingbroke)"
1911,,Religious Systems of the World: A contribution to the study of comparative religion
1912,Aesop,Aesop's Fables
1912,"Spicer, W. A. ",Our Day in the Light of Prophecy and Providence
1912,"Verney, Margaret M.",Bucks Biogrpahies 
1912,"Wells, H. G.",Marriage
1913,"Thomas, Lewis",The Medusa and the Snail
1914,"Cantle, James",First Aid to the Injured
1914,"Gardiner, A. G. ","Prophets, Priests, and Kings"
1914,"Joyce, James",Dubliners
1915,,Modern Essays
1916,"Guerber, H. A. ",The Myths of Greece and Rome
1917,"Mackey, Albert G. ","Encyclopedia of Freemasonry and Its Kindred Sciences comprising the Whole Range of Arts, Sciences, and LIterature as Connected with the Institution"
1918,"Browne, Henry",Our Renaissance: Essays on the Reform and Revival of Classical Studies
1918,"Whittier, John Greenleaf",Selected Poems of John Greenleaf Whittier 
1919,"James, Henry","Selected Short Stories (Last of the Valerii, The Real Thing, The Lesson of the Master, Daisy Miller)"
1919,"Ruskin, John",Sesame and Lilies; Ethics of the Dust
1920,"Smellie, Alexander",The Well by the Way
1921,"Crowest, Frederick J.",Beethoven
1921,"Wittgenstein, Ludwig",Tractatus Logico-Philosophicus 
1921,,Opera At Home
1923,"Chesterton, G. K.",St. Francis of Assisi
1923,"Huxley, Aldous",On The Margin: Notes and Essays
1923,"MacLaurin, C. ","Post Mortem: Essays, Historical and Medical"
1923,"Masefield, John",Poems 
1923,"Pritchard, F. H. (Selected by)",Essays of To-Day: Anthology
1924,"Herzen, Alexander",The Memoirs of Alexander Herzen: Volume I
1924,"Swinburne, Algernon Charles",Swinburne's Collected Poetical Works: Volume I
1925,"Hendrick, Burton J. ",The Life and Letters of Walter H. Page
1925,"Laertius, Diogenes",The Loeb Classical Library [185]: Lives of Eminent Philosophers II
1925,"Laertius, Diogenes",The Loeb Classical Library [184]: Lives of Eminent Philosophers I
1925,"Pushkin, Gogol, Lermontov, Turgenev, Dostoevsky, Garshin, Chekhov, Gorky, Kuprin, Andreev (Selected by Chamot, A. E.)","Selected Russian Short Stories (Pushkin's Queen of Spades; Gogol's Christmas Eve; Lermontov's Tasman and Ashik-Kerib; Turgenev's Asya; Dostoevsky's A Nasty Story; Garshin's Signal, Red Flower; Chekhov's An Awkward Situation and Thieves; Peshkov's In the Steppes and The Khan and his Son; Kuprin's Temptation; Andreev's The Lie and Silence)"
1926,"Ford, Henry",The Great To-Day and Greater Future
1927,"Meredith, George",The Ordeal of Richard Feverel
1927,"Poe, Edgar Allen",The Works of Edgar Allen Poe
1927,"Smith, Sir George Adam; Bevan E.; Burkitt, F. C... Edited by Bevan, E. R. and Singer, C.",The Legacy of Israel
1927,"Wells, H. G. ",The Passionate Friends
1927,"Williams, C (Selected by)",A Book of Victorian Narrative Verse
1929,"Brooke, Tucker (ed.); De la Mare, Walter (introduction)",The Shakespeare Songs
1929,"Rose, John Holland",Life of Napoleon I
1931,"Collins, A. S. (Edited)",Treasury of English Verse New and Old 
1931,"Lucas, John Saint (Selected by)",The Oxford Book of French Verse (xiiith century to xxth century)
1931,"Sale, Charles (Chic)",The Specialist
1932,"Gilbert, W. S. ",The Best Known Works of W. S. Gilbert
1933,"Housman, A. E. ",The Name and Nature of Poetry 
1933,"Wells, H. G. ",The Open Conspiracy and Other Writings
1934,"Carnap, Rudolf ","Psyche Miniatures, General Series No. 63: The Unity of Science"
1934,"Montague, J. F. ",I know just the thing for that!
1936,"Schopenhauer, Arthur",Philosophy of Arthur Schopenhauer 
1938,"Boaz, Franz",The Mind of Primitive Man
1938,"Vallance, Rosalind",A Hundred English Essays
1939,"Chesterton, G. K.","Stories, Essays, & Poems"
1939,"Ellis, Havelock","Thinker's Library [74]: Morals, Manners, and Men"
1939,"Murdoch, Walter",Collected Essays
1940,"Mill, John Stuart",Autobiography
1940,"Richards, J. M.",An Introduction to Modern Architecture
1941,"Donne, John; Blake, William",The Complete Poetry and Selected Prose of John Donne & The Complete Poetry of William Blake
1941,"Kierkegaard, Søren",Training in Christianity and the Edifying Discourse which 'Accompanied' It
1941,Plato ,The Republic of Plato
1942,"Beadnell, C. M. ",Thinker's Library [89]: The Origin of the Kiss and Other Scientific Diversions 
1942,"Donne, John (Ed. by Hayward, John)",Complete Poetry and Selected Prose
1942,Euripides (Ed. by David Grene and Richmond Lattimore),The Complete Greek Tragedies:  Volume II (Sophocles)
1942,"Schumpeter, Joseph A.","Capitalism, Socialism and Democracy"
1943,"Pevsner, Nikolaus",An Outline of European Architecture
1944,"Joad, C. E. M.",Philosophy
1944,"Shaw, George Bernard",Everybody's Political What's What? 
1945,"Flugel, J. C. ","Man, Morals, and Society: A psycho-analytical study"
1945,"Wood, Henry; Foss, Hubert",About Conducting
1946,"Campbell, Charles",The Hidden Strings
1946,"De La Mare, Walter",Collected Poems
1946,"Thomas, Henry; Thomas, Dana Lee","Living Biographies of Great Philosophers (Plato, including Socrates; Aristotle; Epicurus; Aquinas; Francis Bacon; Descartes; Spinoza;  Locke; Hume; Voltaire; Kant; Hegel; Schopenhauer; Emerson; Spencer; Nietzsche; William James; Bergson; Santayana)"
1947,"Fielding, Henry",Joseph Andrews
1947,"Koestler, Arthur",Darkness at Noon
1947,"Lindsay, A. D.",Karl Marx's Capital: An Introductory Essay
1947,"Macphail, Ian Shaw; Goddard, Scott; Barbirolli, John",You and the Orchestra
1947,"Macphall, Ian Shaw",You and the Orchestra
1947,"Sterne, Laurence",The Life & Opinios of Tristam Shandy Gentleman
1948,"Radhakrishnan, S",The Bhagavadgita
1949,"Forster, E. M.",Aspects of the Novel
1949,"Goethe, Johann Wolfgang von",Faust I
1949,"Goethe, Johann Wolfgang von",Faust II
1949,"Montague, C. E.",A Writer's Notes on his Trade
1949,"Shakespeare, William ","The Sonnets, and a Lover's Complaint"
1949,"Toynbee, Arnold J. ",A Study of History: Abridgement of Volumes I-VI by Somervell
1950,"Augustine, Saint",The City of God
1950,"Donne, John",John Donne: A Selection of His Poetry
1950,"Esmond, Henry; Thackeray, W. M. (ed)","The History of Henry Esmond, Esq. "
1950,"Fitzgerald, F. Scott",The Great Gatsby
1950,"Galton, Francis",Hereditary Genius
1950,"Gibbon, Edward",Autobiography of Edward Gibbon
1950,"Orpen, Sir William (Ed.)",The Outline of Art
1951,"Chaucer, Geoffrey",The Canterbury Tales
1951,"Pink, Alderton M.",Points of View: A selection of Provocative Prose
1951,"Steinbeck, John",The Grapes of Wrath
1951,"Sullivan, J. W. N. ",Beethoven
1951,,The Oxford Book of Seventeenth Century Verse
1952,"Anderson, R. C. ",Naval Wars in the Levant (1559-1853)
1952,"Aquinas, Saint Thomas",Great Books of the Western World [19]: The Summa Theologica (Volume I: First part and Part I of the second part)
1952,"Augustine, Saint",Great Books of the Western World [18]: The Confessions; The City of God; On Christian Doctrine
1952,"Dewey, Thomas E.",Journey to the Far Pacific
1952,"Dostoevsky, Fyodor Mikhailovich",Great Books of the Western World [52]: The Brothers Karamazov
1952,"Gorky, Maxim",The Artamonovs
1952,"Heffner, Richard D.",A documentary History of the United States: An Expanded Edition
1952,"Hegel, Georg Wilhelm Friedrich",Great Books of the Western World [46]: The Philosophy of Right; The Philosophy of History
1952,"Kant, Immanuel",Great Books of the Western World [42]: The Critique of Pure Reason; The Critique of Practical Reason; Preface/introductrion to Metaphysical Elements of Ethics; General Introduction to the Metaphysic of Morals; The Science of Right; The Critique of Judgement
1952,Plotinus,Great Books of the Western World [15]: The Six Enneads
1953,"Cross, Milton; Ewen, David",Encyclopedia of the Great Composers and Their Music: Volume II
1953,"Cross, Milton; Ewen, David",Encyclopedia of the Great Composers and Their Music: Volume I
1953,"Lorenz, Konrad Z.",King Solomon's Ring
1954,Herodotus,The Histories
1954,"Herrmann, Paul",Conquest by Man: The Saga of Early Exploration and Discovery
1955,"Camus, Albert",The Myth of Sisyphus
1955,"Graves, Robert; Hodge, Alan",The Reader Over Your Shoulder: A Handbook for Writers of English Prose
1955,"Heller, Joseph",Catch 22
1955,"Joyce, James",Ulysses
1956,"Benchley, Nathaniel",The Benchley Roundup
1956,"Galsworthy, John",The Forsyte Saga
1956,"Marvell, Andrew",The Poems of Andrew Marvell
1956,Plato,The Republic; Apology; Crito; Phaedo; Ion; Meno; Symposium
1956,,Penguin Book of English Verse
1957,Euripides; Sophocles,Euripides' Cyclops; Sophocles' Ichneutai
1957,"Smyth, W. M. (Selected by)","Poems of Spirit and Action (Nash, Carroll, Eliot, Glover, Longfellow...)"
1957,Suetonius,"The Twelve Caesars  (Caesar, Augustus, Tiberius, Gaius Caligula, Claudius, Nero, Galba, Otho, Vitellius, Vespasian, Titus, Domitian)"
1957,"Taviani, Paolo Emilio",Solidarietà Atlantica e Comunità Europea 
1957,"Thomson, Lucy Gertsch (Compiled by)",Somewhere I've read...
1957,"Wood, H. J.",Exploration and Discovery
1957,,Penguin Book of French Verse: 3
1958,"Blake, William",A Selection of Poems and Letters
1958,Euripides (Ed. by David Grene and Richmond Lattimore),The Complete Greek Tragedies:  Volume IV (Euripides)
1958,"Galbraith, John Kenneth",The Affluent Society
1958,"Toynbee, Arnold",East to West
1959,Aeschylus ,The Oresteian Trilogy
1959,"Harris, C. C. ",Introductory exercises in comprehension and expression
1959,"Wordsworth, William",The Prelude or Growth of a Poet's Mind
1959,,Eagle Book of Ships and Boats
1960,"Boswell, James",The Life of Samuel Johnson 
1960,Cicero,Selected Works
1960,Livy,The Early History of Rome
1961,"Dahl, Roald",Someone Like  You
1961,"Gogol, Nikolai",Dead Souls
1961,"Mann, Thomas",Little Herr Friedemann
1962,"Freud, Sigmund",Two Short Accounts of Psycho-Analysis
1962,"Huxley, Aldous",Island
1962,"Spengler, Oswald",The Decline of the West (abridged; ed. by Helmut Werner)
1963,"Bacons, Sir Francis; Swift, J.; Hume, Plutarch, Stevenson, Ruskin, William James, Schopoenhauer, Faraday, Burke, Calhoun, Macaulay, Voltaire, Alighieri, Rousseau, Kant, Clausewitz, Malthus (Ed. by Hutchins, R. M., Adler, M. J)",Gateway to the Great Books [7]: Man and Society 
1963,"Berlin, Isaiah",Karl Marx: His life and environment
1963,"Dickens, Charles",Great Expectations
1963,"Farago, Ladislas",Patton: Ordeal and Triumph
1963,"George, Peter",Dr. Strangelove or: How I learned to stop worrying and love the bomb
1963,"Lenin, Vladimir",What is to be Done?
1963,"Orwell, George",The Road to Wigan Pier
